날짜,평균풍향,평균풍향명,평균풍속,최고풍속,최고풍속방향,최고풍속방향명,평균온도,최소온도,최고온도,평균습도,최소습도,최고습도,강수량,측정위치
2019-04-19,146,남동,1.7,7.4,117,동남동,2.7,-0.7,6,93,76,100,0,하이원 마운틴탑
2019-04-20,108,동남동,3.4,11.3,132,남동,8.2,1.8,15.9,60.4,32,92,0,하이원 마운틴탑
2019-04-21,125,남동,3.3,13.4,126,남동,9.7,5.2,16.8,88.3,61,100,0,하이원 마운틴탑
2019-04-22,136,남동,1.9,7.5,109,동남동,12.8,6.8,21.1,65.3,35,100,0,하이원 마운틴탑
2019-04-23,96,동,1.9,10.6,99,동,12.5,8.4,18.9,72.2,39,100,0.5,하이원 마운틴탑
2019-04-24,175,남,1.8,8.1,262,서,11.6,7.5,16.9,94.1,63,100,15,하이원 마운틴탑
2019-04-25,312,북서,4.8,11.7,281,서,4.2,1.7,7.6,95.9,74,100,3,하이원 마운틴탑
2019-04-26,276,서,6.3,12.2,276,서,-0.3,-1.9,2.5,100,100,100,6.5,하이원 마운틴탑
2019-04-27,218,남서,2.9,11.3,258,서남서,2.7,-2.8,10.4,80.4,36,100,0.5,하이원 마운틴탑
2019-04-28,108,동남동,1.6,7.6,107,동남동,3.7,1,7.5,77,62,97,0,하이원 마운틴탑
2019-04-29,55,북동,1.5,6,107,동남동,5.9,1.1,10.2,82.1,56,100,0.5,하이원 마운틴탑
2019-04-30,111,동남동,2.2,8.8,71,동북동,10.2,5.6,18.6,84.9,42,100,0,하이원 마운틴탑
2019-05-01,127,남동,2.8,10.9,132,남동,9.3,4.3,16.3,77,48,100,0,하이원 마운틴탑
2019-05-02,130,남동,3.3,13.4,158,남남동,9.8,3.8,17.2,63.9,32,100,0,하이원 마운틴탑
2019-05-03,176,남,2.9,9.3,117,동남동,13,6.7,21.5,35.8,17,49,0,하이원 마운틴탑
2019-05-04,147,남남동,2,7.9,199,남남서,14.5,8.7,21.9,38.8,18,57,0,하이원 마운틴탑
2019-05-05,142,남동,2.7,10.3,104,동남동,14.4,7.1,20.8,31.9,18,57,0,하이원 마운틴탑
2019-05-06,255,서남서,3.3,9.5,124,남동,4.2,0.3,10.1,72.2,36,97,0,하이원 마운틴탑
2019-05-07,130,남동,3.5,13.1,103,동남동,6.6,-0.6,14.3,46.7,24,87,0,하이원 마운틴탑
2019-05-08,119,동남동,5.6,14.2,117,동남동,8.2,2.1,16,38.6,27,53,0,하이원 마운틴탑
2019-05-09,120,동남동,3.5,12.3,155,남남동,12,5.9,17.5,42.7,30,56,0,하이원 마운틴탑
2019-05-10,266,서,2.1,7.3,189,남,13.1,6.2,19.2,41.7,28,61,0,하이원 마운틴탑
2019-05-11,188,남,1.9,9.5,289,서북서,14.9,10.8,22.4,43.2,21,61,0,하이원 마운틴탑
2019-05-12,41,북동,2,7.1,103,동남동,14.5,10.5,20.9,44,28,81,0,하이원 마운틴탑
2019-05-13,81,동,1.7,9.1,52,북동,13.3,8.9,19.1,40.3,24,73,1,하이원 마운틴탑
2019-05-14,113,동남동,2.9,10,105,동남동,13.1,7.5,21.2,69.7,42,95,0,하이원 마운틴탑
2019-05-15,119,동남동,2.3,7.7,122,동남동,14.2,8.9,21.2,62.5,35,84,0,하이원 마운틴탑
2019-05-16,104,동남동,2.3,8.5,139,남동,15.6,10.1,23,61.9,29,85,0,하이원 마운틴탑
2019-05-17,26,북북동,1.7,11.2,24,북북동,14.9,10.3,21.2,64.7,46,90,0,하이원 마운틴탑
2019-05-18,17,북북동,3.6,17.2,348,북북서,10.6,8.7,13.2,88.2,71,100,4.5,하이원 마운틴탑
2019-05-19,58,동북동,2.8,16.9,66,동북동,12.7,10,18,95.5,75,100,1.5,하이원 마운틴탑
2019-05-20,100,동,3.6,16.5,108,동남동,9.2,1.9,13,87.2,51,100,0.5,하이원 마운틴탑
2019-05-21,115,동남동,4.9,18.8,120,동남동,7.9,1.5,15.1,66,38,100,0,하이원 마운틴탑
2019-05-22,113,동남동,4.2,14.2,166,남남동,11.3,4.5,18.8,49.2,32,80,0,하이원 마운틴탑
2019-05-23,114,동남동,3.3,11.7,124,남동,14.3,7.7,21.5,50.1,30,65,0,하이원 마운틴탑
2019-05-24,119,동남동,2.8,8.9,125,남동,18.7,11,26.3,47.2,19,79,0,하이원 마운틴탑
2019-05-25,118,동남동,3.7,10.5,99,동,17.2,13.2,23.7,58,32,89,0,하이원 마운틴탑
